smiles,NCI1,group
COC1C(C(OC(=O)C1OC)OC)OC,0,training
COC1=CC=CC=C1C2C(C(=O)N2N3C=NC4=CC=CC=C4C3=O)Cl,0,valid
C1=CC(=O)C(=NC2=CC(=C(C(=C2O)C(=O)O)N)O)C(=C1)C(=O)O,0,valid
C1=C(NC(=N1)N)C(C(CN)Cl)O,0,training
CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,1,valid
CC1=CC(=C(C=C1)NC(=O)C2=CC=CC3=C2C(=CC=C3)C(=O)OC)C,0,valid
CC1=CC=C(C=C1)OCC2C(CC(O2)N3C=NC4=C3N=CN=C4Cl)OC5=CC=C(C=C5)C,0,training
CC(C)(C)OC(=O)N1CC2=CC3=CC=CC=C3N=C2C1CO,0,training
C1=NC2=C(N1)C(=NC=N2)NCCC(=O)O,0,training
COC1=CC(=C(C(=C1)OC)C(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-])OC,0,training
CC1=CC2=C(C(=NC=C2C=C1)N)C#CC3=CC(=CN=C3)C(=O)NC4=CC(=C(C=C4)CN5CCN(CC5)C)C(F)(F)F,1,training
CC(C)(C)C(=O)O[C@H]1C=C[C@H]([C@@H]2[C@H]1[C@H]3C[C@@H]2C=C3)O,0,training
C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)CCCC(=O)O[C@H]4[C@H]5[C@@H](C[C@H]([C@H]6[C@]4(C(=O)C=C6)C)C)OC(=O)C5=C)C(=C)C(=O)O2,1,valid
CCCOC1=C(C=C2CC[C@@H]3[C@@H](C2=C1)CC[C@]4([C@H]3CC[C@@H]4O)C)O,0,training
C1=CC=C(C=C1)N2C3=CC=CC=C3C(=C(C2=O)C(C4=CC=C(C=C4)[N+](=O)[O-])C5=C(C6=CC=CC=C6N(C5=O)C7=CC=CC=C7)O)O,0,training
CCCN(CCCCC(C(=O)NCC1=CC=CC=C1)NC(=O)C)C(=O)NCCCl,0,training
CCCCCCCCC#CCCCCCCC(C(=O)O)F,0,training
C1=CC(=C(C=C1F)F)N2C(=O)C3=C(C=CC(=C3)F)OC2=O,0,training
C1=CC=C2C(=C1)C=C(C=N2)N=CC3=C(C=CC(=C3)Cl)O,0,training
COC1=C(C=C2CC3C4=CC(=C(C=C4CCN3CCC2=C1)OC)OC)OC,0,training
COC1=CC2=C3C=CN=C4C3=C(C(=O)C5=C4N=CC=C5)N=C2C=C1,1,valid
C1=CC=C(C=C1)N2C(=CC(=N2)C3=CC=C(C=C3)Cl)C4=C(C=CC(=C4)O)O,0,training
C1=CC=C2C(=C1)C3=C(N2C4=CC(=CC=C4)[N+](=O)[O-])C5=C(C=C3)C(=O)C=CC5=O,0,training
C1CC2C=CC1N3N2C(=O)N(C3=O)/N=C/C4=CC=CC=C4,0,test
C1CC(=O)NC2=C(C1=O)C=C(C=C2)Br,0,training
CN1CCC2=C3C1CC4=C(C3=CC(=C2)N)C(=C(C=C4)O)O,0,training
CC1(CC2=C3C(=NC4=C(C3=C(N2)C5=CC=C(C=C5)Br)C(=O)CC(C4)(C)C)C1)C,0,training
CC1=C2CN(C=CC2=C(C3=C1C4=C(N3)C=CC(=C4)OC)C)C,0,training
C1=CC=C2C(=C1)C=CC3=C2C(=C(O3)[N+](=O)[O-])CCO,0,test
CN(C)CCCNC1=C2C3=C(C=C1)N=CN3C4=C(C2=O)C=C(C=C4)O.Cl,0,training
CCCNNC(=O)/C=C/C1=CC=C(C=C1)CNCCC2=C(NC3=CC=CC=C32)C,1,training
CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,0,training
C1=CC=C2C(=C1)C3=C(C2=O)C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)N3CCCCl,0,training
C1=CC(=O)C=CC1=C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,0,training
COC1=CC2=C(C3=C(C=CC=C3[N+](=O)[O-])N=C2C=C1)NCCNCCO,1,training
C1=CC(=CC=C1C(C#N)C(=O)C(=O)C(C#N)C2=CC=C(C=C2)Br)Br,0,training
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=CC(=N2)C3=CC=CC=C3.Cl,0,training
CC(=O)OC1=CC=CC=C1C2=CC3=CC=CC=C3OC2=O,0,training
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)NC4=C(C(=O)C5=CC=CC=C5C4=O)Cl)NC6=C(C(=O)C7=CC=CC=C7C6=O)Cl,0,training
CC1=C(C(=C2C(=C1O)[C@]3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)/C=C/C4=CC=C(C=C4)OC)O,0,training
CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,1,training
CC(C)(C)C1=CC(=C(C(=C1)C(=O)O)C(C2=CC=CC=C2)C3=CC=CC=C3C(=O)O)C(=O)O,0,training
CC1C(C(C(C(O1)OC2C(OC(C(C2(C)O)O)C)OC3=CC=CC4=C3C5=C6C7=C(C=CC(=C7C(=O)O5)C)OC(=O)C6=C4O)N)OC)O,1,test
CN1C(=C(C2=C1C(=O)C=C(C2=O)N3CC3)CO)/C=C/CO,1,training
CN(C)CCCNC1=C2C3=C(C=C1)N=NN3C4=C(C2=O)C=C(C=C4)[N+](=O)[O-],0,training
CC1CNC2=CC=CC=C2N=C1NN,0,training
CC1CCCC2=C1C(NC(=C2C#N)N)C3=CC(=C(C=C3)OC)OC,0,training
CN1C(=CC(=N1)/C=C\C(=O)N2CC(C3=C2C=C(C4=CC=CC=C43)N)CCl)/C=C/C(=O)N5CC(C6=C5C=C(C7=CC=CC=C76)N)CCl,1,training
C1C=C(C=CC12C3(O2)COC4=CC=CC=C4C3=O)Cl,0,training
CCOC(=O)CN1C(=O)C(=CN(C1=O)/C(=C/C(=O)OCC)/C(=O)OCC)Cl,0,training
C1CC1N2CC3(C(NC(=O)NC3C4=CC(=C(C=C42)N5CCNCC5)F)C6=CC=CC=C6)C(=O)O,0,training
CN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CN=CC(=C3)C#CC4=CN=C(C5=CC=CC=C54)N)C(F)(F)F,1,training
CCN(CC)CC.C1=CC(=C(C=C1CCNC2=CC(=O)C3=C(C2=O)NC=N3)[N+](=O)[O-])O,0,valid
CC1=C(C(=O)C2=C(C1=O)CC3C4C5=C(CC(N4C)C(N3C2CNC(=O)C(C)O)C#N)C(=O)C(=C(C5=O)OC)C)OC,1,training
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NN=C(C=C3)C4=CC=CC=C4,0,training
COC1=CC=C(C=C1)/C=N/NC(=O)O,0,test
CCOC(=O)C(CC1=CNC2=C1C=C(C=C2)[N+](=O)[O-])(C(=O)OCC)NC(=O)C,0,valid
C1CC2=C([C@@H]3[C@H]1C4=C(N3)C=CC(=C4)Br)NC5=CC=CC=C25,0,valid
CC1=C(NC(=C1C(=O)CCCCC(=O)NC(C)(C)C)C)/C=C\2/C(=CC(=N2)C3=CC=CN3)OC.Cl,0,training
C1=CC=C2C(=C1)C(=NC(C(=O)N2CC(=O)O)CC3=CC=C(C=C3)O)C4=CC(=CC=C4)O,0,training
C1CCN(CC1)CCN2C3=C(C=C(C=C3)C(=O)CN4CCOCC4)OC2=O,0,test
C1=CC=C2C(=C1)C3C4C(C2(C5=CC=CC=C35)/C=C/C(=O)C6=C(C=C(C=C6)Cl)Cl)C(=O)NC4=O,0,valid
C1=CC=C(C=C1)CC(C(=O)OCC2=CC=CC=C2)N(CC3=CC=CC=C3)CC4=CC=CC=C4,0,training
CC1=C(C(=CC=C1)C(=O)OC)C2CN=NC23CC4=C(C3=O)C=CC(=C4C)C,0,training
CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O,0,training
CC1=C(N=C2C=C(C=CC2=N1)C(F)(F)F)NCC3=CC(=C(C=C3)OC)OC,0,training
C1CCC(CC1)N=C2CCNC3=CC=CC=C3N2,0,training
CC1=C2CC(C(=O)C2=CC=C1)CC3=CC=CC(=C3C(=O)OC)C,0,test
